adj_def_x,adj_def_y,adj_off_x,adj_off_y,adj_tempo_x,adj_tempo_y,away,away_score,conf_x,conf_y,date,experience_x,experience_y,fg_def_x,fg_def_y,fg_off_x,fg_off_y,height_x,height_y,home,home_score,poss_def_x,poss_def_y,poss_off_x,poss_off_y,reb_def_x,reb_def_y,reb_off_x,reb_off_y,score,three_def_x,three_def_y,three_off_x,three_off_y,turnover_def_x,turnover_def_y,turnover_off_x,turnover_off_y,wins_five_x,wins_five_y,wins_last_x,wins_last_y
91.4,89.2,116.4,114.9,68.0,64.9,Wisconsin,54,B10,B10,2021-01-12,2.1,2.33,43.8,44.4,59.0,53.8,77.9,78.2,Michigan,77,17.6,18.0,16.6,18.1,24.1,21.9,31.1,23.7,23,34.8,33.0,35.8,41.4,15.2,18.2,18.2,12.1,5,4.0,1,1.0
92.3,89.5,109.8,112.7,71.7,68.7,Kansas,70,B12,B12,2021-01-12,1.12,1.42,46.8,47.2,51.3,49.9,77.6,78.2,Oklahoma St.,75,17.6,17.5,15.7,16.3,29.6,25.9,32.2,35.0,5,33.2,32.1,31.6,35.5,19.5,18.1,19.2,18.0,2,4.0,1,1.0
93.9,92.9,111.7,112.8,67.2,69.0,Duke,67,ACC,ACC,2021-01-12,1.63,0.9,48.8,52.2,53.0,52.7,76.3,76.9,Virginia Tech,74,18.0,16.8,17.7,16.4,23.0,24.9,31.8,35.3,7,33.8,37.1,35.3,35.2,18.6,21.8,17.9,20.0,4,4.0,1,1.0
91.1,93.0,107.7,111.6,68.0,74.6,Alabama,85,SEC,SEC,2021-01-12,0.9,1.93,45.9,47.4,47.2,49.4,79.0,77.9,Kentucky,65,18.0,17.5,17.0,14.2,30.4,29.2,33.8,32.8,-20,30.8,31.6,31.1,32.2,18.3,21.0,20.8,18.0,3,5.0,1,1.0
90.3,92.7,108.6,109.6,71.1,70.6,Syracuse,75,ACC,ACC,2021-01-12,1.08,1.49,48.7,46.3,46.1,51.3,78.8,77.9,North Carolina,81,17.7,17.0,15.8,15.3,23.7,28.0,40.7,29.6,6,34.7,29.8,30.4,32.6,18.8,22.8,22.0,17.5,3,4.0,1,1.0
94.3,90.4,111.1,104.9,70.4,69.0,Mississippi,63,SEC,SEC,2021-01-12,1.52,1.93,48.8,46.3,53.8,49.2,77.4,77.2,Florida,72,17.0,16.5,15.7,16.9,29.3,26.2,32.2,34.1,9,37.3,34.4,38.5,28.6,22.6,26.1,20.4,20.2,2,2.0,0,0.0
96.3,96.6,110.8,110.2,67.8,66.2,Providence,69,BE,BE,2021-01-12,1.71,1.88,47.2,50.5,51.8,50.6,78.1,77.9,Marquette,79,17.0,17.7,18.1,17.8,28.3,29.8,33.0,31.4,10,34.3,33.7,37.2,31.6,15.7,18.5,20.5,16.5,1,2.0,0,0.0
99.5,92.6,105.9,105.2,72.3,69.8,Miami FL,62,ACC,ACC,2021-01-12,1.83,1.44,54.5,47.2,50.6,47.8,76.6,78.3,Boston College,84,16.6,16.2,16.4,17.7,29.5,25.1,26.2,29.6,22,34.5,35.5,33.0,28.0,19.8,20.6,20.5,20.6,1,2.0,0,1.0
99.6,97.0,107.7,105.5,74.8,67.1,Butler,57,BE,BE,2021-01-12,1.48,1.5,55.9,54.2,50.3,48.9,77.0,76.6,St. John's,69,16.9,17.4,14.3,19.3,28.4,22.8,29.4,24.8,12,38.5,39.2,33.5,36.0,22.9,18.3,17.5,17.0,1,2.0,0,0.0
95.3,97.0,112.0,106.3,68.8,67.7,TCU,46,B12,B12,2021-01-12,2.11,1.13,50.4,48.6,51.0,52.7,77.2,77.5,Oklahoma,82,17.2,17.1,17.0,18.2,27.5,28.4,30.4,28.8,36,39.0,29.3,33.2,35.4,19.3,17.6,15.8,20.4,2,3.0,0,0.0
101.3,101.1,107.8,101.1,70.8,70.0,Ball St.,88,MAC,MAC,2021-01-12,1.79,1.99,49.8,49.7,51.6,48.9,76.3,76.9,Bowling Green,64,16.4,16.9,16.3,16.6,28.0,32.3,28.5,26.1,-24,32.9,31.2,36.9,31.0,19.7,19.9,14.5,18.1,5,2.0,1,0.0
107.6,101.2,100.7,104.2,72.2,71.0,Kent St.,94,MAC,MAC,2021-01-12,2.04,2.26,53.5,46.2,48.7,53.4,77.3,77.2,Central Michigan,85,16.7,17.4,15.7,17.4,32.8,26.3,28.6,35.2,-9,38.6,32.7,34.8,35.3,18.6,17.8,17.6,20.2,2,3.0,0,1.0
104.2,103.7,107.7,100.3,69.4,66.2,Miami OH,61,MAC,MAC,2021-01-12,1.46,1.96,52.9,50.1,55.2,47.7,76.9,75.4,Ohio,78,16.7,17.0,17.1,18.3,27.6,31.4,28.8,24.2,17,35.3,31.4,37.1,36.7,20.7,19.8,17.0,16.1,2,3.0,0,1.0
104.2,100.2,95.1,106.1,65.8,74.2,Buffalo,85,MAC,MAC,2021-01-12,1.73,2.31,49.5,46.1,48.2,50.7,76.3,77.0,Western Michigan,69,16.8,16.8,18.4,14.3,30.0,25.7,26.4,35.4,-16,30.4,24.0,31.1,34.6,15.4,16.2,21.2,18.3,0,3.0,0,1.0
