teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,126.8,88.8,74.8,14.1,17.8,61.0,47.5,16.1,20.3,30.4,23.4,36.5,32.5,1.53,78.1,0,0
Michigan,B10,120.1,87.9,66.8,17.3,18.3,54.9,44.9,16.3,15.1,29.4,24.8,38.7,33.5,2.14,77.9,0,0
Illinois,B10,119.7,87.6,70.7,16.8,17.0,55.6,46.6,18.2,16.0,33.0,22.2,37.6,32.7,1.64,77.0,0,0
Baylor,B12,124.0,93.0,68.4,16.6,17.5,57.5,49.1,17.6,24.6,37.5,31.0,41.8,34.0,2.0,76.6,0,0
Iowa,B10,124.2,93.9,70.0,16.2,17.4,54.6,48.3,13.4,16.3,30.7,28.6,38.6,34.8,1.71,77.9,0,0
Houston,Amer,119.6,89.4,64.9,18.9,17.2,51.3,42.9,16.3,21.6,39.4,28.0,35.5,28.5,1.85,77.1,0,0
Ohio St.,B10,123.0,96.1,67.1,18.2,17.3,53.1,48.9,15.3,15.0,29.1,27.4,36.5,34.1,1.98,77.5,0,0
Alabama,SEC,112.4,86.0,73.9,14.1,17.6,51.3,45.3,18.7,21.1,31.5,29.8,35.1,28.8,1.88,77.7,0,0
Loyola Chicago,MVC,111.1,85.9,64.2,18.5,19.0,56.3,46.7,18.5,21.6,26.0,21.0,35.7,32.5,2.27,76.2,0,0
Wisconsin,B10,113.2,89.1,64.9,18.9,17.4,49.4,47.9,13.5,17.8,23.6,25.1,36.0,33.0,2.37,78.0,0,0
Virginia,ACC,116.3,92.3,60.1,20.3,18.7,56.1,48.0,15.4,15.2,23.1,22.6,38.1,34.1,1.94,77.7,0,0
Villanova,BE,119.3,95.3,65.1,18.4,17.3,52.8,51.8,13.5,19.0,28.0,24.8,35.2,35.3,1.89,78.0,0,0
Purdue,B10,114.3,90.6,66.5,18.4,17.6,51.4,48.6,18.7,16.9,32.2,24.1,33.5,31.5,1.05,78.4,0,0
USC,P12,113.6,89.9,67.3,17.4,18.3,52.1,45.4,18.1,17.5,35.7,27.3,34.8,34.2,1.71,79.4,0,0
Florida St.,ACC,117.1,93.6,70.6,16.3,17.8,54.4,46.5,20.2,19.6,35.7,31.4,39.0,33.3,1.96,79.6,0,0
Connecticut,BE,114.3,90.9,66.0,18.7,17.3,49.5,46.2,17.5,19.6,36.8,29.8,33.6,31.6,1.8,77.9,0,0
Colorado,P12,115.1,92.0,66.4,17.7,18.6,52.0,47.7,16.8,19.8,30.9,25.6,36.7,33.3,2.3,77.5,0,0
Arkansas,SEC,112.2,89.2,73.1,16.0,15.8,51.5,47.6,17.4,20.4,31.7,26.2,33.9,32.6,1.56,78.0,0,0
Creighton,BE,115.6,92.8,69.1,16.0,18.2,55.7,46.9,15.9,17.9,24.8,28.2,36.7,32.1,2.25,77.0,0,0
San Diego St.,MWC,111.5,88.8,66.1,16.8,18.8,52.7,46.7,16.9,22.4,29.9,24.4,37.5,32.9,2.43,76.5,0,0
