UNLV,North Carolina,51,78,102.5,100.2,72.6,0,109.2,89.4,74.6,0,11/30/2020
Davidson,Texas,76,78,106.7,97.4,69.9,0,108.6,85.9,71.5,0,11/30/2020
Duquesne,Little Rock,66,76,105.1,95.2,71.8,0,101.7,99.9,72.6,0.044,11/30/2020
UCF,Auburn,63,55,100.5,95.1,71.3,0,106.3,94.8,73.1,0.184,11/30/2020
Appalachian St.,Bowling Green,76,78,98,100.6,72.4,0,102.2,102.9,75.2,-0.051,11/30/2020
Tennessee Tech,Chattanooga,54,62,91.4,103.3,72.5,0,98.3,102.3,71.1,0,11/30/2020
Xavier,Eastern Kentucky,99,96,105.8,92.4,70.9,0.256,95.4,99.4,76.6,0,11/30/2020
Hofstra,Fairleigh Dickinson,73,58,100.8,100,72.8,0,99.6,107.2,74,0,11/30/2020
Mercer,Georgia St.,86,69,100.5,101.2,72.5,0,104.9,98.3,74.9,0,11/30/2020
Providence,Indiana,58,79,106.6,90.6,72.8,0,108.2,89,72.3,0,11/30/2020
Seton Hall,Iona,86,64,107.1,91.5,73.4,0,95.8,104,72.4,0,11/30/2020
Minnesota,Loyola Marymount,67,64,108.3,90,75.6,0.007,102.2,101.1,72.3,0.201,11/30/2020
Kansas St.,UMKC,62,58,98.7,96.3,69.3,-0.005,93.3,103.7,70.4,0,11/30/2020
California,Nicholls St.,60,49,100.8,96.8,70.4,0,97.3,102.6,74.6,0.093,11/30/2020
Nevada,Pacific,70,58,101.4,95.5,73.3,0.142,100.2,96.5,69.3,0,11/30/2020
Cal St. Northridge,Seattle,76,65,96.1,108.5,73.3,0,94.9,103.4,71.5,0.017,11/30/2020
LSU,Southeastern Louisiana,96,43,114.2,97.9,71.5,-0.142,91,105.2,74.6,-0.169,11/30/2020
Boston College,St. John's,93,97,103.9,93.9,71.7,0.097,104,93.3,76.5,0.209,11/30/2020
Alabama,Stanford,64,82,107.7,91.9,77.4,0,105.8,88,72.6,0,11/30/2020
SMU,Texas A&M Corpus Chris,91,54,109.4,94.5,70.2,0,93.7,105.8,70.7,0,11/30/2020
Wyoming,Texas Southern,74,76,97.2,99.1,70.9,0,95.2,101.2,74.6,-0.146,11/30/2020
Mississippi St.,Texas St.,68,51,105,96.8,69.7,0,99.7,97.1,71.5,0,11/30/2020
Wisconsin,Green Bay,82,42,109.6,86.9,69.2,0.095,97.6,106.3,76.8,0,2020-12-1
Duke,Michigan St.,69,75,112.2,87.6,74.1,0,111.4,89.9,73,0.003,2020-12-1
Kentucky,Kansas,62,65,108.4,88.5,72.2,-0.15,110.9,87.1,74.4,-0.082,2020-12-1
Creighton,Nebraska Omaha,94,67,111.9,91.4,71.9,0,95.9,99.3,74.3,0.139,2020-12-1
Hartford,Villanova,53,87,93.7,104.2,70.2,0,113.7,89.4,68.1,0.028,2020-12-1
Stanford,North Carolina,63,67,105.6,86.5,73.4,0,108.9,88.1,74,0,2020-12-1
Virginia,St. Francis PA,76,51,106.2,85.5,64.3,-0.248,98.3,104.3,72.8,0.065,2020-12-1
Indiana,Texas,44,66,109.2,88.2,70.9,0,109.6,87.6,70.2,0.209,2020-12-1
New Hampshire,Bryant,85,93,95.1,98.5,71.6,0,94.9,104.1,75.7,0,2020-12-1
Washington,UC Riverside,42,57,102.6,93,71.7,0,94.4,99.3,70.1,0,2020-12-1
FIU,Central Michigan,96,76,98.9,102,76.1,0,97.8,103.4,75.9,0,2020-12-1
Toledo,Cleveland St.,70,61,103.5,98.2,70.5,-0.334,95.5,100.5,71.2,0,2020-12-1
