home,away,line,draft_kings,diff,score,date
Georgetown,Villanova,-15,-11.5,3.5,-13,12/11/2020
Charleston,South Carolina St.,23,19.5,3.5,27,12/11/2020
West Virginia,North Texas,15,12,3,12,12/11/2020
Iowa,Iowa St.,11,13.5,2.5,28,12/11/2020
Canisius,Marist,6,3.5,2.5,9,12/11/2020
North Dakota,South Dakota St.,-13,-10.5,2.5,-12,12/11/2020
Creighton,Nebraska,15,13,2,24,12/11/2020
Fairfield,Iona,-2,-4,2,-28,12/11/2020
Davidson,Georgia Southern,15,13.5,1.5,32,12/11/2020
UCLA,Marquette,3,4.5,1.5,9,12/11/2020
Delaware,George Washington,2,1,1,3,12/11/2020
Grand Canyon,Nevada,-2,-1,1,10,12/11/2020
North Dakota St.,South Dakota,5,4,1,7,12/11/2020
Kansas St.,Milwaukee,11,10.5,0.5,1,12/11/2020
Southern Illinois,Murray St.,-7,-6.5,0.5,4,12/11/2020
Charlotte,Appalachian St.,3,3.5,0.5,-4,12/11/2020
BYU,Utah,-5,2,7,18,12/12/2020
Eastern Illinois,Western Illinois,18,12.5,5.5,4,12/12/2020
Auburn,Memphis,-1,-6.5,5.5,3,12/12/2020
IUPUI,Tennessee St.,7,2,5,3,12/12/2020
Ball St.,Illinois St.,9,5,4,16,12/12/2020
Miami FL,Florida Gulf Coast,22,18.5,3.5,-4,12/12/2020
North Dakota,North Dakota St.,-2,-5.5,3.5,-1,12/12/2020
Arkansas,Central Arkansas,20,23.5,3.5,25,12/12/2020
Drexel,La Salle,6,3,3,-10,12/12/2020
Southern Miss,South Alabama,-7,-4,3,-1,12/12/2020
Georgia,Samford,15,18,3,4,12/12/2020
VCU,Old Dominion,4,7,3,23,12/12/2020
Washington,Oregon,-11,-8,3,-3,12/12/2020
Oklahoma,Florida A&M,29,26.5,2.5,31,12/12/2020
Wichita St.,Oklahoma St.,-6,-3.5,2.5,-3,12/12/2020
Canisius,Marist,7,4.5,2.5,-4,12/12/2020
Western Michigan,Detroit,-1,1,2,-10,12/12/2020
Alabama,Clemson,0,2,2,-8,12/12/2020
Arizona,UTEP,19,17,2,8,12/12/2020
Kentucky,Notre Dame,6,7.5,1.5,-1,12/12/2020
Louisiana,Louisiana Tech,-3,-4.5,1.5,5,12/12/2020
Fairfield,Iona,-8,-6.5,1.5,15,12/12/2020
UNC Asheville,High Point,6,4.5,1.5,13,12/12/2020
