home,away,predict_kp,date,draft_kings,home_cover,win_kp,percent_chance,bet,score
Utah St.,San Diego St.,1,2021-01-14,1.0,0.0,0.8052651902769881,0.8052651902769881,San Diego St.,12.0
UCLA,Washington St.,12,2021-01-14,9.0,1.0,0.7816995640437224,0.7816995640437224,UCLA,30.0
Montana,Northern Arizona,12,2021-01-14,12.5,0.0,0.7406141434643981,0.7406141434643981,Northern Arizona,11.0
Portland,San Francisco,-12,2021-01-14,-13.0,0.0,0.6972960658859135,0.6972960658859135,San Francisco,-16.0
USC Upstate,Hampton,4,2021-01-14,4.5,1.0,0.6653083512204127,0.6653083512204127,USC Upstate,-1.0
Winthrop,Longwood,15,2021-01-14,16.5,0.0,0.6570861232562306,0.6570861232562306,Longwood,11.0
San Jose St.,Colorado St.,-16,2021-01-14,-19.0,1.0,0.6512558015333921,0.6512558015333921,San Jose St.,-33.0
Oregon St.,Arizona,-7,2021-01-14,-8.0,0.0,0.6510648581884133,0.6510648581884133,Arizona,-34.0
Pacific,Santa Clara,1,2021-01-14,-3.0,1.0,0.6422153199196592,0.6422153199196592,Pacific,21.0
Jacksonville St.,Tennessee St.,6,2021-01-14,6.5,1.0,0.6399887218643382,0.6399887218643382,Jacksonville St.,1.0
Indiana,Purdue,3,2021-01-14,3.5,0.0,0.6359917791901077,0.6359917791901077,Purdue,-12.0
Eastern Washington,Southern Utah,6,2021-01-14,5.5,0.0,0.6355340593194716,0.6355340593194716,Southern Utah,12.0
Tennessee Tech,Belmont,-13,2021-01-14,-12.5,0.0,0.6199766521250281,0.6199766521250281,Belmont,-21.0
UNC Asheville,Charleston Southern,9,2021-01-14,10.0,1.0,0.6160359212760059,0.6160359212760059,UNC Asheville,38.0
Temple,UCF,-3,2021-01-14,-3.5,0.0,0.6009602841287551,0.6009602841287551,UCF,7.0
Gonzaga,Pepperdine,25,2021-01-14,25.5,0.0,0.5985585366386206,0.5985585366386206,Pepperdine,25.0
Colorado,California,15,2021-01-14,15.0,0.0,0.5668105303613851,0.5668105303613851,California,29.0
Eastern Illinois,Morehead St.,6,2021-01-14,6.0,1.0,0.5664522145448614,0.5664522145448614,Eastern Illinois,-26.0
FIU,Florida Atlantic,6,2021-01-14,5.0,0.0,0.562660715787245,0.562660715787245,Florida Atlantic,
Utah,Stanford,-2,2021-01-14,-1.0,1.0,0.5504091537220389,0.5504091537220389,Utah,14.0
Campbell,Presbyterian,9,2021-01-14,7.5,1.0,0.5501077572949615,0.5501077572949615,Campbell,2.0
Mount St. Mary's,Merrimack,4,2021-01-14,3.5,1.0,0.5464879269031021,0.5464879269031021,Mount St. Mary's,20.0
USC,Washington,15,2021-01-14,14.0,1.0,0.5354963516169088,0.5354963516169088,USC,27.0
Montana St.,Portland St.,9,2021-01-14,6.5,0.0,0.5319217966118255,0.5319217966118255,Portland St.,7.0
St. Francis PA,Bryant,-3,2021-01-14,-6.0,1.0,0.5293791445539254,0.5293791445539254,St. Francis PA,7.0
Idaho,Northern Colorado,-7,2021-01-14,-6.0,0.0,0.5216139401106132,0.5216139401106132,Northern Colorado,-20.0
Saint Mary's,BYU,1,2021-01-14,-0.5,0.0,0.5155178010254162,0.5155178010254162,BYU,-10.0
Samford,UNC Greensboro,-6,2021-01-14,-6.5,1.0,0.5107048500253162,0.5107048500253162,Samford,-24.0
