away,bet,date,draft_kings,home,home_cover,line,percent_chance,predict_kp,score,win,win_kp
San Diego St.,San Diego St.,2021-01-14,1.0,Utah St.,0.0,,0.8052651902769881,1,12.0,,0.8052651902769881
Washington St.,UCLA,2021-01-14,9.0,UCLA,1.0,,0.7816995640437224,12,30.0,,0.7816995640437224
Northern Arizona,Northern Arizona,2021-01-14,12.5,Montana,0.0,,0.7406141434643981,12,11.0,,0.7406141434643981
San Francisco,San Francisco,2021-01-14,-13.0,Portland,0.0,,0.6972960658859135,-12,-16.0,,0.6972960658859135
Hampton,USC Upstate,2021-01-14,4.5,USC Upstate,1.0,,0.6653083512204127,4,-1.0,,0.6653083512204127
Longwood,Longwood,2021-01-14,16.5,Winthrop,0.0,,0.6570861232562306,15,11.0,,0.6570861232562306
Colorado St.,San Jose St.,2021-01-14,-19.0,San Jose St.,1.0,,0.6512558015333921,-16,-33.0,,0.6512558015333921
Arizona,Arizona,2021-01-14,-8.0,Oregon St.,0.0,,0.6510648581884133,-7,-34.0,,0.6510648581884133
Santa Clara,Pacific,2021-01-14,-3.0,Pacific,1.0,,0.6422153199196592,1,21.0,,0.6422153199196592
Tennessee St.,Jacksonville St.,2021-01-14,6.5,Jacksonville St.,1.0,,0.6399887218643382,6,1.0,,0.6399887218643382
Purdue,Purdue,2021-01-14,3.5,Indiana,0.0,,0.6359917791901077,3,-12.0,,0.6359917791901077
Southern Utah,Southern Utah,2021-01-14,5.5,Eastern Washington,0.0,,0.6355340593194716,6,12.0,,0.6355340593194716
Belmont,Belmont,2021-01-14,-12.5,Tennessee Tech,0.0,,0.6199766521250281,-13,-21.0,,0.6199766521250281
Charleston Southern,UNC Asheville,2021-01-14,10.0,UNC Asheville,1.0,,0.6160359212760059,9,38.0,,0.6160359212760059
UCF,UCF,2021-01-14,-3.5,Temple,0.0,,0.6009602841287551,-3,7.0,,0.6009602841287551
Pepperdine,Pepperdine,2021-01-14,25.5,Gonzaga,0.0,,0.5985585366386206,25,25.0,,0.5985585366386206
California,California,2021-01-14,15.0,Colorado,0.0,,0.5668105303613851,15,29.0,,0.5668105303613851
Morehead St.,Eastern Illinois,2021-01-14,6.0,Eastern Illinois,1.0,,0.5664522145448614,6,-26.0,,0.5664522145448614
Florida Atlantic,Florida Atlantic,2021-01-14,5.0,FIU,0.0,,0.562660715787245,6,,,0.562660715787245
Stanford,Utah,2021-01-14,-1.0,Utah,1.0,,0.5504091537220389,-2,14.0,,0.5504091537220389
Presbyterian,Campbell,2021-01-14,7.5,Campbell,1.0,,0.5501077572949615,9,2.0,,0.5501077572949615
Merrimack,Mount St. Mary's,2021-01-14,3.5,Mount St. Mary's,1.0,,0.5464879269031021,4,20.0,,0.5464879269031021
Washington,USC,2021-01-14,14.0,USC,1.0,,0.5354963516169088,15,27.0,,0.5354963516169088
Portland St.,Portland St.,2021-01-14,6.5,Montana St.,0.0,,0.5319217966118255,9,7.0,,0.5319217966118255
Bryant,St. Francis PA,2021-01-14,-6.0,St. Francis PA,1.0,,0.5293791445539254,-3,7.0,,0.5293791445539254
Northern Colorado,Northern Colorado,2021-01-14,-6.0,Idaho,0.0,,0.5216139401106132,-7,-20.0,,0.5216139401106132
BYU,BYU,2021-01-14,-0.5,Saint Mary's,0.0,,0.5155178010254162,1,-10.0,,0.5155178010254162
UNC Greensboro,Samford,2021-01-14,-6.5,Samford,1.0,,0.5107048500253162,-6,-24.0,,0.5107048500253162
Oral Roberts,Oral Roberts,2021-01-15,-11.5,Denver,0.0,-11.029886427671418,0.6632207842944967,-10,-4.0,0.0,
Youngstown St.,Youngstown St.,2021-01-15,2.5,Oakland,0.0,-1.607523518541914,0.6588226521300793,-1,17.0,0.0,
Middle Tennessee,Southern Miss,2021-01-15,-1.0,Southern Miss,1.0,-0.7521822981542279,0.6419204448655565,-2,30.0,1.0,
LIU,Wagner,2021-01-15,-2.0,Wagner,1.0,1.52624223677061,0.6253845703122786,1,2.0,1.0,
Niagara,Niagara,2021-01-15,-2.0,Manhattan,0.0,-7.017473941525682,0.6156138497899581,-3,9.0,0.0,
Bowling Green,Bowling Green,2021-01-15,4.5,Buffalo,0.0,2.8797445134552886,0.6129363326863639,4,-7.0,1.0,
Liberty,Liberty,2021-01-15,-10.0,Stetson,0.0,-9.421025080481318,0.6115027928044969,-7,6.0,0.0,
Merrimack,Mount St. Mary's,2021-01-15,3.5,Mount St. Mary's,1.0,5.4945566833386135,0.5990190896313576,6,11.0,1.0,
Longwood,Longwood,2021-01-15,16.0,Winthrop,0.0,13.442093558435097,0.5928305925348221,15,20.0,0.0,
Cal St. Northridge,Cal St. Northridge,2021-01-15,-1.5,Long Beach St.,0.0,2.9831890993714123,0.5875301140305533,2,,0.0,
Cal St. Bakersfield,Cal St. Bakersfield,2021-01-15,2.0,Hawaii,0.0,-2.9174263663046567,0.5823331363981452,-2,-5.0,1.0,
IUPUI,Northern Kentucky,2021-01-15,8.0,Northern Kentucky,1.0,6.884490808687342,0.5755063311260985,6,-5.0,0.0,
North Dakota St.,North Dakota St.,2021-01-15,-5.0,North Dakota,0.0,-7.950852687203227,0.5729113997406003,-5,-17.0,1.0,
Charleston Southern,UNC Asheville,2021-01-15,12.5,UNC Asheville,1.0,12.354504645948026,0.5679630213899746,11,8.0,0.0,
Robert Morris,Robert Morris,2021-01-15,3.5,Illinois Chicago,0.0,0.029185830057610218,0.5637146517265839,2,14.0,0.0,
Green Bay,Green Bay,2021-01-15,3.0,Detroit,0.0,3.074042119738447,0.5597193408285489,3,25.0,0.0,
UTSA,UTSA,2021-01-15,8.5,Louisiana Tech,0.0,6.927767115414934,0.5587164624477774,9,11.0,0.0,
Fairfield,Marist,2021-01-15,5.5,Marist,1.0,5.810250184178313,0.5554211031379542,7,10.0,1.0,
Hampton,USC Upstate,2021-01-15,4.0,USC Upstate,1.0,4.837836272663079,0.5546131486139135,4,-10.0,0.0,
Duquesne,St. Bonaventure,2021-01-15,8.5,St. Bonaventure,1.0,6.222160289336793,0.5515164016572071,7,14.0,1.0,
Bellarmine,Bellarmine,2021-01-15,3.0,Florida Gulf Coast,0.0,2.540024636178824,0.5496481391630921,4,-14.0,1.0,
UC Riverside,UC Riverside,2021-01-15,-9.0,Cal Poly,0.0,-9.963502056241923,0.5456349403052669,-8,-35.0,1.0,
Old Dominion,Old Dominion,2021-01-15,-3.0,Rice,0.0,-3.2664665388077094,0.5449839777609119,-3,10.0,0.0,
Fresno St.,Fresno St.,2021-01-15,6.5,Nevada,0.0,4.702465193438723,0.5386087309324208,6,16.0,0.0,
Presbyterian,Campbell,2021-01-15,8.0,Campbell,1.0,8.220899644915374,0.5378440616781038,8,22.0,1.0,
UTEP,North Texas,2021-01-15,6.0,North Texas,1.0,4.764413345016077,0.5374616150572775,6,30.0,1.0,
Louisiana,UT Arlington,2021-01-15,3.5,UT Arlington,1.0,4.044444148374819,0.5372582686179295,2,,0.0,
Purdue Fort Wayne,Purdue Fort Wayne,2021-01-15,3.0,Milwaukee,0.0,1.9221794100974243,0.5369592686234277,2,-9.0,1.0,
Dixie St.,Dixie St.,2021-01-15,6.5,UT Rio Grande Valley,0.0,6.408144733144593,0.5321135458194238,8,33.0,0.0,
