home_team,away_team
Wisconsin,Green Bay
Duke,Michigan State
Kansas,Kentucky
Creighton,Omaha
Hartford,Villanova
Stanford,UNC
Virginia,Saint Francis (PA)
Indiana,Texas
New Hampshire,Bryant
Washington,UC-Riverside
Florida International,Central Michigan
Toledo,Cleveland State
Providence,Davidson
Dayton,Eastern Illinois
South Alabama,Emmanuel
George Washington,Hampton
Abilene Christian,Howard Payne
Bradley,Judson
Stephen F. Austin,LeTourneau
Morgan State,Lincoln (PA)
VMI,Longwood
Grand Canyon,Mississippi Valley State
Georgetown,Navy
Alabama,UNLV
Saint Mary's,Nicholls State
Charleston Southern,North Carolina A&T
East Carolina,North Carolina Wesleyan
Purdue,Oakland
Marquette,Oklahoma State
UNC Greensboro,Prairie View
Stony Brook,Sacred Heart
Nebraska,South Dakota
BYU,USC
Appalachian State,St. Andrews
St. Peter's,Stony Brook
UIC,Valparaiso
Louisville,Western Kentucky
