team,off,def,tempo,luck
Abilene Christian,99.1,100.2,68.4,-0.023
Air Force,107.8,110.3,68.8,-0.059
Akron,108.5,98.9,69.4,0.022
Alabama,111,99.5,74.8,-0.076
Alabama A&M,87.9,108.2,67.7,0.014
Alabama St.,86.2,103.4,69.7,-0.022
Albany,94.3,103.9,68.5,0.011
Alcorn St.,96.9,111.3,70.1,0.037
American,101.1,104,68.7,-0.033
Appalachian St.,99.9,100.2,67.2,0.041
Arizona,111,91.4,69.3,-0.077
Arizona St.,106,94.7,73.2,0.069
Arkansas,109.1,95.5,71.2,-0.047
Arkansas Pine Bluff,79,104.6,66.1,-0.008
Arkansas St.,104.2,107.5,67.3,0.042
Army,98.8,107.4,69.5,0.046
Auburn,111.4,95.5,69.2,0.103
Austin Peay,106.9,107,67.8,0.032
Ball St.,99.2,94,68,-0.089
Baylor,113.5,88.1,66.2,0.016
Belmont,106.5,100.5,70.5,0.012
Bethune Cookman,95.4,105.8,73,0.012
Binghamton,99.7,116.9,68.6,0.073
Boise St.,107,97.6,69.1,0.025
Boston College,99.6,100.3,69.3,0.065
Boston University,103.3,102.6,66.3,0.002
Bowling Green,104.3,104,70.1,0.142
Bradley,106.8,100.7,67.1,0.036
Brown,96.4,101.1,69.4,0.12
Bryant,97.8,103.8,70.3,-0.055
Bucknell,96.2,102.9,69.5,0.004
Buffalo,104.1,102.3,73.9,0.045
Butler,112.6,94.2,63.7,0.032
BYU,116.3,95.6,69.5,-0.028
Cal Baptist,105.3,108.1,68.6,0.029
Cal Poly,95.2,108.5,68.3,-0.038
Cal St. Bakersfield,96.2,104.9,64.9,-0.063
Cal St. Fullerton,95.9,104.5,69.3,0.01
Cal St. Northridge,107.4,113.3,70.3,0.071
California,101.5,100.4,65.2,0.09
Campbell,96.8,105.3,65.6,-0.047
Canisius,97.7,105.7,70,-0.04
Central Arkansas,98,107.6,73.2,-0.021
Central Connecticut,90.3,114,69.5,-0.014
Central Michigan,102,106.4,73.6,-0.036
Charleston,105,104.9,65.9,-0.004
Charleston Southern,95.4,109.1,66.9,0.033
Charlotte,98.5,98,65.5,0.008
Chattanooga,106.6,104.8,67,0.025
Chicago St.,86.9,120.8,69,-0.029
Cincinnati,108.8,94.7,68,-0.013
Clemson,103.9,93.5,66,-0.043
Cleveland St.,92.9,105.7,67.1,0.048
Coastal Carolina,104.8,106.2,72.8,-0.033
Colgate,107.2,102.5,68.5,0.02
Colorado,109.1,93.4,68.2,-0.01
Colorado St.,109.3,102.1,69.3,0.045
Columbia,95.2,106.5,69.1,-0.13
Connecticut,108.6,95.6,68.5,-0.077
Coppin St.,89.6,105.3,73.4,0.038
Cornell,101.2,110.3,65.2,-0.105
Creighton,118.2,97.3,68.3,0.072
Dartmouth,96.7,99.9,65.8,-0.081
Davidson,112.5,101.9,64.8,-0.094
Dayton,119.1,94.1,67.6,0.002
Delaware,105.6,106.4,68.3,0.074
Delaware St.,94.1,117.2,74.7,-0.042
Denver,95,106.8,70.9,-0.044
DePaul,103.4,95.5,70.6,0.022
Detroit,99.9,111.7,69.3,-0.031
Drake,102,101.3,67.9,0.065
Drexel,100,106.7,67.3,0.002
Duke,115.7,91.1,72,-0.009
Duquesne,106.6,99,67.8,0.049
