team,off,def,tempo,luck
Gonzaga,117.3,88.1,76.0,0.083
Baylor,116.1,87.2,70.0,0.012
Villanova,114.5,89.2,67.5,0.066
Texas Tech,108.6,85.0,70.3,-0.091
Texas,109.3,85.7,69.6,0.041
West Virginia,110.7,87.6,72.0,-0.041
Wisconsin,109.9,86.9,67.5,-0.094
Iowa,116.3,93.7,74.8,0.006
Kansas,108.8,86.8,73.6,0.175
Houston,110.8,89.0,69.2,0.124
Duke,109.9,88.2,73.8,-0.074
Ohio St.,111.5,89.9,69.2,0.091
Creighton,112.3,91.2,72.1,-0.122
Illinois,110.9,89.9,72.1,0.036
Michigan St.,110.6,89.8,73.0,0.029
Michigan,111.4,90.9,71.6,0.007
Virginia,106.4,86.0,63.0,-0.088
Tennessee,107.7,87.2,69.0,0.0
Florida,109.2,88.8,72.1,0.122
North Carolina,108.8,88.5,73.1,-0.076
Indiana,108.0,87.8,70.9,0.069
Florida St.,108.5,88.3,73.1,0.0
Oregon,110.2,90.1,70.2,-0.041
Louisville,109.3,89.4,69.7,0.084
Oklahoma,110.7,91.4,73.7,0.182
Rutgers,106.7,87.9,72.0,0.002
Clemson,106.3,87.6,70.1,0.099
Arizona St.,111.1,92.6,75.8,0.052
LSU,114.2,95.8,71.5,-0.078
Maryland,110.2,91.9,70.4,0.0
Stanford,104.7,86.5,72.4,-0.125
Purdue,108.6,90.5,69.6,-0.082
UCLA,109.9,92.1,68.0,0.064
Kentucky,106.8,89.1,71.5,-0.274
Marquette,107.6,90.1,72.0,0.01
San Diego St.,106.8,89.4,68.6,0.035
N.C. State,108.8,91.5,72.0,0.0
Saint Louis,107.8,90.6,70.4,0.082
USC,107.6,90.6,70.3,-0.054
Missouri,108.0,91.1,70.7,0.062
Syracuse,107.3,90.5,72.8,0.014
Miami FL,106.3,89.6,71.9,0.057
Arkansas,107.2,90.5,72.7,0.093
Oklahoma St.,106.5,89.9,73.5,0.049
Arizona,105.6,89.1,72.0,0.152
Mississippi,105.7,89.2,71.2,0.0
Minnesota,107.1,90.9,73.4,0.098
Virginia Tech,107.6,91.4,67.3,0.172
Connecticut,108.5,92.3,68.8,0.101
Alabama,108.4,92.3,76.4,0.048
Memphis,103.3,87.6,75.7,-0.09
Penn St.,108.8,93.1,72.3,-0.024
SMU,108.7,93.2,71.9,0.055
Loyola Chicago,105.5,90.0,69.2,0.0
Colorado,105.7,90.3,70.5,-0.059
Utah,107.8,92.6,69.9,0.0
Seton Hall,108.2,93.2,71.1,-0.116
Richmond,107.5,92.7,73.6,0.033
Xavier,106.6,92.6,70.7,0.211
Butler,105.7,92.4,68.4,0.0
TCU,103.7,90.5,67.1,0.051
Dayton,106.9,93.8,69.3,-0.054
Cincinnati,103.9,90.9,71.6,-0.064
Furman,106.3,93.7,72.0,0.0
Northwestern,104.9,92.4,72.7,0.0
VCU,101.5,89.3,71.9,-0.089
South Carolina,104.5,92.4,74.0,-0.01
Saint Mary's,105.4,93.4,66.0,0.108
Providence,105.6,93.7,69.0,0.058
Texas A&M,102.7,91.3,70.8,0.077
Iowa St.,106.9,95.5,71.9,-0.191
Rhode Island,105.3,94.2,73.2,-0.126
St. Bonaventure,106.6,95.6,70.2,0.0
San Francisco,104.9,94.2,72.0,-0.007
Georgia Tech,105.1,94.4,71.6,-0.224
Western Kentucky,107.2,96.6,70.6,0.06
Auburn,105.1,94.9,73.3,0.115
South Dakota St.,108.4,98.3,72.2,0.045
Davidson,108.7,98.6,67.5,-0.182
Notre Dame,107.6,97.8,71.1,-0.072
Mississippi St.,105.6,95.9,68.0,-0.014
DePaul,103.9,94.4,73.1,0.0
Duquesne,104.4,94.9,71.8,-0.033
St. John's,104.8,95.4,76.2,0.095
Boston College,104.3,95.1,73.4,-0.033
Northern Iowa,105.8,96.7,72.3,-0.075
BYU,103.3,94.3,72.8,0.193
Marshall,103.6,94.7,76.9,0.0
Utah St.,102.8,94.1,71.9,-0.046
Georgia,103.3,94.8,74.9,0.047
Pittsburgh,103.4,94.9,71.4,-0.028
Vermont,103.1,94.7,69.9,0.0
Tulsa,100.3,92.5,70.4,-0.16
Murray St.,103.6,95.9,70.4,0.025
Boise St.,103.7,96.1,72.1,-0.137
Georgetown,102.5,94.9,74.1,-0.114
Pepperdine,104.9,97.3,73.0,-0.195
UAB,102.7,95.6,72.6,0.004
UNC Greensboro,102.4,95.5,72.4,-0.005
Yale,104.9,98.0,71.4,0.0
Washington,99.5,92.8,71.3,-0.035
Toledo,104.8,98.3,69.9,-0.174
Ohio,102.8,96.3,73.2,-0.071
Wichita St.,102.4,95.8,71.0,0.099
Old Dominion,102.8,96.2,70.5,0.137
New Mexico St.,102.6,96.1,69.0,0.0
South Florida,100.4,94.0,69.9,0.021
Nebraska,101.3,95.1,75.3,-0.052
Belmont,103.0,96.8,75.0,0.037
North Texas,102.1,96.1,69.1,-0.263
Georgia St.,104.1,98.3,74.7,0.184
Santa Clara,97.6,92.0,71.8,0.058
UCF,99.0,93.6,70.4,0.145
Wright St.,100.3,95.0,72.8,-0.069
Louisiana Tech,102.9,98.0,71.9,0.224
Bradley,100.1,95.3,69.4,-0.135
East Carolina,100.5,95.8,71.1,0.001
Nevada,100.5,95.8,72.4,0.218
George Mason,102.4,97.7,69.4,-0.05
Colorado St.,105.7,101.0,71.9,0.0
Liberty,102.1,97.6,66.4,-0.06
Oregon St.,102.4,97.9,69.7,-0.185
Wake Forest,102.0,97.8,71.2,0.138
UC Santa Barbara,100.9,96.7,68.3,0.0
Winthrop,102.4,98.3,75.2,0.0
Massachusetts,102.7,98.9,71.4,0.0
Abilene Christian,98.0,94.2,71.8,0.019
Vanderbilt,100.2,96.5,73.7,0.0
Drake,102.6,99.2,69.9,0.0
California,98.8,95.5,68.6,-0.062
Pacific,99.2,96.4,68.1,0.198
Buffalo,101.6,98.9,75.0,-0.13
Ball St.,100.7,98.2,70.4,0.07
UNLV,102.5,100.0,71.0,-0.065
Wofford,102.1,99.6,69.5,0.0
Eastern Washington,100.3,97.8,74.1,-0.176
Washington St.,97.1,94.8,71.9,0.0
Indiana St.,101.9,99.6,71.2,0.0
Loyola Marymount,101.8,99.5,71.1,-0.076
Little Rock,102.2,100.0,71.6,0.035
Siena,100.5,98.4,70.6,0.0
Princeton,101.8,99.9,70.1,0.0
Akron,100.8,99.2,72.1,0.0
Colgate,102.7,101.2,71.2,0.0
Mercer,100.8,99.5,73.0,0.001
Temple,97.9,96.6,73.2,0.0
Drexel,101.1,99.9,69.4,-0.023
Texas St.,98.6,97.7,69.4,0.154
Stephen F. Austin,98.1,97.4,74.6,0.0
Fresno St.,99.3,98.6,69.5,0.0
Kansas St.,97.8,97.1,67.2,0.071
Kent St.,100.5,99.8,71.5,-0.079
San Diego,97.8,97.2,72.7,0.0
Harvard,99.7,99.1,71.5,0.0
Bowling Green,102.5,102.2,73.8,0.14
UC Irvine,98.0,98.0,71.6,-0.012
Grand Canyon,98.1,98.1,69.5,0.042
Eastern Illinois,100.2,100.3,70.1,-0.039
Valparaiso,97.4,97.6,71.4,-0.058
UT Arlington,98.9,99.2,72.1,-0.044
Hofstra,99.4,99.8,72.0,-0.118
Saint Joseph's,101.9,102.4,75.4,-0.135
Montana,97.0,97.5,69.6,-0.156
Austin Peay,102.2,102.8,71.8,0.189
Saint Peter's,96.6,97.5,69.9,0.034
UC Riverside,95.5,96.5,68.9,-0.089
Louisiana,99.4,100.6,76.2,0.216
Eastern Michigan,98.5,99.7,70.8,0.0
Missouri St.,99.5,100.7,71.3,0.0
Northeastern,98.9,100.2,69.9,0.0
UTSA,102.1,103.4,74.1,-0.016
La Salle,96.8,98.2,70.3,-0.026
Coastal Carolina,100.2,101.6,75.1,0.0
East Tennessee St.,94.6,96.1,71.3,-0.085
Navy,99.5,101.2,67.1,0.31
North Dakota St.,96.7,98.4,68.1,-0.035
Boston University,98.9,100.7,70.8,0.0
Chattanooga,98.5,100.4,71.9,0.0
Wyoming,98.8,100.8,70.5,-0.012
FIU,100.2,102.3,74.6,0.138
Fordham,91.6,93.7,69.2,0.0
Charlotte,97.4,99.5,67.5,-0.253
Miami OH,97.5,99.8,70.1,0.073
Youngstown St.,100.2,102.5,71.0,0.0
Southern Utah,99.1,101.4,72.0,0.152
Eastern Kentucky,96.7,99.1,77.3,-0.056
Northern Colorado,98.9,101.3,70.9,0.0
Monmouth,97.3,99.8,74.8,0.0
Northern Kentucky,98.6,101.3,70.2,0.034
Oral Roberts,102.8,105.5,73.1,-0.164
Southern Illinois,97.4,100.1,69.3,0.0
Cal St. Bakersfield,94.9,97.7,68.9,0.0
Montana St.,98.0,100.8,71.9,-0.146
UC San Diego,97.8,100.7,72.0,0.0
UMBC,98.2,101.1,71.6,-0.039
Appalachian St.,97.4,100.3,70.9,-0.218
Middle Tennessee,93.6,96.5,73.8,-0.198
UC Davis,97.7,100.7,73.7,-0.161
Western Carolina,98.7,101.8,74.9,0.051
UTEP,95.5,98.7,70.7,0.0
Penn,98.1,101.3,72.6,0.0
Charleston,97.3,100.6,69.0,-0.0
Cornell,99.2,102.5,70.3,0.0
NJIT,95.6,99.0,70.8,0.0
Lipscomb,99.6,103.8,69.7,-0.041
Florida Atlantic,95.1,99.4,69.6,0.046
Georgia Southern,97.2,101.5,72.4,0.0
Elon,97.8,102.1,70.5,0.0
Sacramento St.,95.5,100.1,68.1,0.0
Army,94.0,98.5,71.8,0.061
South Alabama,100.3,104.8,69.0,0.077
Detroit,99.3,104.0,73.2,-0.004
Purdue Fort Wayne,95.1,99.8,71.6,0.0
New Mexico,97.9,103.0,74.4,0.0
Nebraska Omaha,95.1,100.3,73.6,0.144
Illinois Chicago,93.7,99.0,70.9,0.011
Texas Southern,97.3,102.5,72.6,0.067
New Hampshire,93.6,98.9,73.5,-0.0
South Dakota,97.4,102.7,71.6,-0.032
Tulane,93.9,99.3,70.4,0.119
UMass Lowell,98.1,103.5,72.5,0.001
UT Rio Grande Valley,94.6,100.0,72.6,0.116
Towson,98.9,104.3,68.5,-0.123
UNC Asheville,98.0,103.5,71.6,-0.262
Canisius,97.3,103.0,72.8,0.0
Norfolk St.,93.8,99.5,70.0,0.15
UNC Wilmington,97.3,103.0,71.5,-0.029
George Washington,97.0,102.8,74.4,-0.176
Illinois St.,95.8,101.6,73.0,0.027
Brown,93.0,98.9,73.2,0.0
Lafayette,98.8,104.7,71.3,0.0
Rice,95.5,101.4,72.7,0.0
Robert Morris,94.5,100.4,70.6,0.0
Western Michigan,94.7,100.7,70.2,-0.132
Nicholls St.,95.4,101.5,73.2,0.021
Hawaii,95.2,101.3,71.8,0.0
Long Beach St.,96.1,102.5,75.0,0.178
Mount St. Mary's,94.9,101.4,65.9,-0.011
Delaware,97.7,104.2,69.9,0.0
Bryant,97.3,103.9,77.8,-0.144
Central Michigan,97.6,104.5,75.2,-0.01
Air Force,96.0,102.9,63.7,0.165
Central Arkansas,97.2,104.1,77.0,-0.091
Bucknell,94.9,101.8,73.1,0.0
Cleveland St.,94.0,101.1,71.4,-0.15
North Alabama,95.5,102.6,72.9,0.0
Stetson,96.3,103.6,70.1,-0.07
Gardner Webb,95.7,103.0,70.8,0.0
Campbell,97.8,105.2,69.6,0.0
Loyola MD,96.6,104.0,73.4,0.0
VMI,96.7,104.0,73.2,-0.04
North Dakota,96.9,104.4,71.1,-0.112
Bellarmine,95.8,103.4,69.9,-0.001
Louisiana Monroe,94.9,102.7,69.2,0.095
Marist,91.1,98.9,68.6,0.0
American,94.6,102.5,71.0,0.0
Florida Gulf Coast,93.8,101.7,70.1,0.101
Niagara,95.1,103.2,70.7,0.0
IUPUI,98.3,106.5,73.6,0.0
San Jose St.,96.1,104.4,74.6,0.0
St. Francis PA,97.5,105.9,71.7,0.043
Jacksonville St.,93.4,101.8,69.6,0.075
Stony Brook,91.3,99.8,73.8,0.143
Arkansas St.,96.0,104.5,71.1,-0.041
Southern,95.0,103.5,71.2,-0.118
Iona,96.7,105.3,71.8,0.049
Hartford,94.2,102.9,70.3,0.165
Quinnipiac,93.2,102.0,71.0,0.056
Green Bay,98.4,107.2,73.1,-0.115
Dartmouth,92.7,101.5,70.0,0.0
Cal Baptist,97.5,106.7,72.5,-0.248
Northwestern St.,96.1,105.3,75.9,-0.136
James Madison,96.8,106.0,73.0,0.028
High Point,95.2,104.5,71.2,-0.171
Rider,94.3,103.6,71.9,-0.2
William & Mary,98.2,107.6,71.3,0.0
Columbia,92.5,101.9,72.4,0.0
LIU,93.5,102.9,75.1,0.0
Samford,96.9,106.4,75.3,-0.197
Fairleigh Dickinson,98.6,108.1,73.6,-0.003
Portland,92.6,102.1,74.2,0.005
Lamar,91.8,101.5,73.0,-0.156
Seattle,93.8,103.5,71.4,-0.067
UMKC,93.3,103.1,69.0,0.0
Wagner,93.3,103.2,70.1,0.0
North Carolina Central,93.3,103.2,69.9,0.042
Milwaukee,93.1,103.0,72.0,0.0
Northern Illinois,93.5,103.4,68.0,-0.089
Manhattan,90.6,100.6,69.9,0.0
Charleston Southern,92.3,102.4,71.6,-0.113
Weber St.,93.0,103.1,71.4,0.0
Utah Valley,92.5,102.7,73.3,0.0
USC Upstate,95.8,106.1,73.8,-0.098
Tennessee St.,92.2,102.6,73.1,0.0
Lehigh,95.2,105.7,72.3,0.0
Oakland,94.9,105.5,72.0,-0.07
Southern Miss,92.8,103.4,69.2,0.0
