home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet
California,UCLA,-8,2021-01-21,-9.0,-12.770256474123261,0.0,0.638170455251074,UCLA
BYU,Portland,21,2021-01-21,22.5,21.18767404234323,1.0,0.6323792024875171,BYU
Eastern Kentucky,Tennessee Martin,16,2021-01-21,14.5,13.07064872538383,0.0,0.6321556955195737,Tennessee Martin
Arizona St.,Arizona,-3,2021-01-21,-2.5,-3.7925827273742847,0.0,0.6294271428609518,Arizona
Portland St.,Idaho St.,1,2021-01-21,3.0,-0.8202978929075933,0.0,0.6290820120075412,Idaho St.
Weber St.,Southern Utah,-1,2021-01-21,2.5,-1.475862122772515,0.0,0.6195371215423002,Southern Utah
Memphis,Wichita St.,2,2021-01-21,2.5,-0.9713124884203843,0.0,0.6166012900349203,Wichita St.
Santa Clara,San Francisco,-2,2021-01-21,-4.0,-5.293628026140741,0.0,0.5961073418279641,San Francisco
Washington St.,Utah,-3,2021-01-21,-2.0,-5.851181249468528,0.0,0.5858375475045714,Utah
Central Connecticut,Mount St. Mary's,-4,2021-01-21,-4.5,-5.209301615200932,0.0,0.5774389687579538,Mount St. Mary's
Austin Peay,Tennessee Tech,11,2021-01-21,11.5,11.746597679973089,1.0,0.5741867465839574,Austin Peay
Northern Arizona,Montana St.,-5,2021-01-21,-6.5,-3.708851696178616,1.0,0.5673421112383354,Northern Arizona
Stanford,USC,-2,2021-01-21,-5.0,-3.20048957544444,0.0,0.5636688194500481,USC
Buffalo,Eastern Michigan,10,2021-01-21,11.0,9.718722370451967,0.0,0.5613417307266054,Eastern Michigan
Sacramento St.,Montana,-1,2021-01-21,-1.5,-1.7059372045086896,1.0,0.5586393546527673,Sacramento St.
Morehead St.,Southeast Missouri St.,8,2021-01-21,5.5,6.92206853345807,1.0,0.5576627409594295,Morehead St.
Loyola Marymount,Saint Mary's,-1,2021-01-21,-2.5,-4.15093834130511,0.0,0.5510799772599695,Saint Mary's
Iowa,Indiana,10,2021-01-21,9.5,10.94051005565603,1.0,0.5467962655882048,Iowa
Tennessee St.,SIU Edwardsville,3,2021-01-21,3.0,1.803624070190562,0.0,0.5400513445244504,SIU Edwardsville
Pepperdine,Pacific,1,2021-01-21,3.0,-0.4360820384387587,0.0,0.5307243050611556,Pacific
Northern Colorado,Eastern Washington,-4,2021-01-21,-3.5,-4.195814009171446,0.0,0.5287140963044719,Eastern Washington
New Mexico,San Jose St.,4,2021-01-21,6.5,5.693658437734111,1.0,0.5236776669035613,New Mexico
Sacred Heart,St. Francis PA,-1,2021-01-21,-0.5,-1.0046471298589843,0.0,0.5223580214455669,St. Francis PA
Utah St.,Colorado St.,7,2021-01-21,7.5,4.82936865922272,0.0,0.5223267291073546,Colorado St.
Belmont,Eastern Illinois,12,2021-01-21,12.0,11.671038043170096,0.0,0.5216976663313181,Eastern Illinois
Murray St.,Jacksonville St.,8,2021-01-21,6.0,6.3316914716548744,1.0,0.520368686064361,Murray St.
Akron,Central Michigan,10,2021-01-21,11.0,9.603995338393087,1.0,0.5043416620399039,Akron
Miami OH,Bowling Green,-3,2021-01-21,-4.5,-3.890363606048684,0.0,0.5043032164186014,Bowling Green
