home,away,predict_kp
Nevada,Colorado St.,-2
Buffalo,Kent St.,4
VCU,Dayton,6
Loyola Marymount,San Francisco,-1
Saint Louis,Massachusetts,7
Davidson,George Mason,5
St. Bonaventure,Duquesne,8
Miami FL,Boston College,1
North Texas,UAB,7
Pacific,Santa Clara,3
Belmont,Jacksonville St.,5
Morehead St.,Eastern Kentucky,2
Wake Forest,Georgia Tech,-10
Drake,Northern Iowa,10
Toledo,Ball St.,11
Indiana St.,Evansville,6
The Citadel,Western Carolina,-1
UC Davis,Hawaii,1
Missouri St.,Valparaiso,8
Western Kentucky,Old Dominion,8
Appalachian St.,Little Rock,-1
Cal Baptist,Seattle,2
UC San Diego,Cal St. Fullerton,4
Arkansas St.,Georgia Southern,1
Quinnipiac,Saint Peter's,-2
North Alabama,Florida Gulf Coast,-2
Rider,Monmouth,-5
Mercer,Samford,8
Western Michigan,Eastern Michigan,3
Montana St.,Sacramento St.,4
South Alabama,Louisiana Monroe,5
Siena,Canisius,6
UT Arlington,Troy,4
Grand Canyon,Utah Valley,9
Liberty,Stetson,11
Long Beach St.,UC Irvine,-10
Cal St. Northridge,UC Riverside,-10
UT Rio Grande Valley,Tarleton St.,5
Manhattan,Fairfield,5
Loyola Chicago,Southern Illinois,16
Central Michigan,Northern Illinois,8
Florida Atlantic,Middle Tennessee,10
Dixie St.,New Mexico St.,-10
Eastern Washington,Idaho St.,12
Marshall,Charlotte,14
Mississippi Valley St.,Arkansas Pine Bluff,-9
Delaware St.,Morgan St.,-11
UC Santa Barbara,Cal Poly,22
