teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,124.3,88.5,74.6,14.2,17.5,60.5,47.2,15.8,20.3,31.5,23.3,34.9,34.3,1.51,78.2,5,1
Baylor,B12,122.6,87.5,68.6,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1
Michigan,B10,117.7,89.3,67.7,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Houston,Amer,115.8,88.8,65.9,19.0,16.8,49.1,42.1,17.6,22.2,40.1,27.3,34.0,26.9,1.79,77.0,4,1
Iowa,B10,126.2,99.3,69.9,15.9,17.5,55.2,49.1,13.3,17.0,33.4,31.2,38.9,34.9,1.66,77.9,2,1
Illinois,B10,117.3,90.4,69.9,16.7,17.0,56.5,46.2,18.6,16.3,32.9,22.9,39.0,33.3,1.64,77.1,5,1
Ohio St.,B10,121.1,95.4,67.0,18.1,17.2,52.8,47.8,15.2,15.6,29.9,25.9,35.2,33.1,1.99,77.5,5,1
Villanova,BE,120.8,95.2,64.6,18.4,17.3,55.3,52.7,13.6,20.0,28.9,25.3,38.7,37.1,1.89,77.9,4,1
Virginia,ACC,116.0,90.5,59.9,20.0,18.8,57.9,47.7,15.4,16.2,22.2,21.5,39.5,33.0,1.9,77.8,4,1
Alabama,SEC,111.8,86.5,74.2,14.1,17.4,51.2,45.2,18.9,21.0,30.7,29.2,35.5,29.3,1.87,77.8,3,1
Colorado,P12,117.0,92.8,66.6,17.3,18.6,53.4,47.7,16.3,20.5,29.7,25.1,38.1,33.2,2.28,77.4,4,1
Wisconsin,B10,112.1,88.7,65.0,18.5,17.6,50.5,46.4,13.7,18.0,23.1,23.6,35.9,31.9,2.39,78.0,3,1
USC,P12,112.5,89.3,67.4,17.3,18.1,51.7,43.9,18.1,17.6,37.1,27.3,33.0,31.4,1.72,79.5,5,1
Tennessee,SEC,109.4,86.5,67.1,17.4,17.3,50.8,45.1,17.3,23.4,30.7,27.3,34.5,29.7,1.56,77.5,4,1
Loyola Chicago,MVC,111.6,89.0,65.5,17.8,18.6,57.8,46.3,17.8,22.3,24.2,21.8,35.8,31.5,2.23,76.2,5,1
West Virginia,B12,116.5,94.6,69.2,17.3,16.5,49.1,49.0,17.2,20.3,36.5,31.1,37.4,31.1,1.86,77.2,4,1
Florida St.,ACC,115.2,93.3,69.4,16.8,17.4,54.2,46.9,20.2,20.2,35.8,29.3,37.9,33.2,1.99,79.6,4,0
Texas Tech,B12,111.9,90.5,66.2,17.8,17.7,49.1,47.5,16.1,24.7,34.6,28.7,33.9,35.0,1.43,76.9,3,0
Texas,B12,113.4,92.0,68.9,16.2,18.1,51.8,45.6,19.2,17.5,31.8,27.2,34.2,31.2,1.89,77.9,2,1
Creighton,BE,114.5,93.5,69.5,15.9,17.9,56.2,46.5,16.1,18.7,24.3,29.4,36.3,33.1,2.24,77.0,4,1
San Diego St.,MWC,111.5,91.1,66.0,16.6,18.6,53.3,47.8,17.5,22.9,32.2,22.7,38.1,33.9,2.42,76.6,5,1
Kansas,B12,112.1,91.8,68.8,16.2,17.7,50.4,48.3,17.9,19.3,32.2,26.3,34.9,34.3,1.48,78.2,3,1
Oklahoma,B12,112.4,92.3,67.8,17.1,17.4,50.9,48.3,15.5,19.6,29.0,26.9,33.7,37.0,2.07,77.0,4,1
Purdue,B10,112.4,92.3,66.1,18.6,17.3,50.8,49.3,19.3,17.1,33.0,24.0,33.9,32.3,1.04,78.4,2,0
Arkansas,SEC,111.5,91.9,72.8,15.8,15.9,51.1,47.5,17.0,20.5,33.1,25.1,33.9,31.7,1.56,78.0,4,1
Rutgers,B10,110.6,91.2,67.7,17.0,17.6,51.7,48.1,16.2,19.5,29.4,29.5,33.1,32.9,2.0,77.9,4,0
Indiana,B10,110.8,91.4,65.9,18.1,17.3,50.0,48.1,16.8,17.7,25.0,25.3,34.6,33.7,1.35,77.2,3,1
Florida,SEC,113.7,94.5,69.6,16.1,17.2,53.6,47.9,19.4,21.0,31.7,32.1,37.5,33.1,1.51,77.3,4,0
LSU,SEC,119.2,101.0,70.4,16.2,16.8,53.5,49.6,16.9,20.1,31.2,32.3,34.4,30.5,1.06,77.6,2,1
Penn St.,B10,112.9,94.7,68.9,16.7,18.0,48.5,51.9,16.6,20.4,33.0,28.0,34.2,31.1,2.22,76.1,2,0
Seton Hall,BE,115.3,97.2,67.2,17.2,17.9,52.5,50.7,18.7,18.2,29.0,28.5,33.8,37.8,2.43,79.2,2,1
BYU,WCC,110.8,92.9,68.0,16.8,16.7,54.3,46.4,19.7,16.2,29.5,23.5,35.0,33.2,2.02,78.0,3,0
Louisville,ACC,110.4,92.5,65.9,17.7,18.4,50.2,46.8,18.1,17.6,31.2,25.5,31.9,30.9,0.98,77.5,2,1
Virginia Tech,ACC,111.2,93.3,66.2,18.1,18.0,52.0,48.2,17.2,17.4,28.6,23.4,34.3,32.5,1.58,76.3,3,1
Oregon,P12,111.8,94.2,68.9,16.6,17.2,53.1,48.2,17.7,21.1,29.7,24.8,35.8,31.9,2.3,77.3,3,1
Arizona,P12,114.2,96.6,68.4,16.6,18.1,51.2,48.8,17.6,18.7,35.4,23.4,38.0,34.2,1.28,78.7,2,1
Minnesota,B10,111.9,94.4,69.8,16.5,17.0,46.8,47.7,15.3,18.7,29.5,32.3,29.4,32.1,1.89,78.0,2,1
Missouri,SEC,111.6,94.5,69.3,16.6,17.1,51.1,47.1,19.0,17.7,28.9,29.3,30.7,31.3,2.49,77.6,3,0
North Carolina,ACC,109.8,92.8,70.5,15.8,17.7,48.4,50.3,21.0,18.9,40.0,24.5,32.0,36.3,1.12,78.9,4,1
Oklahoma St.,B12,108.4,91.4,71.2,15.7,17.3,51.0,46.4,20.8,19.6,31.9,30.3,33.7,31.6,1.14,77.6,3,0
Duke,ACC,114.4,97.5,69.6,16.7,16.9,52.6,53.4,18.8,19.4,32.8,25.7,34.3,38.9,0.88,77.1,2,0
UCLA,P12,113.6,97.0,64.1,18.4,18.1,50.4,50.0,16.3,18.7,32.6,25.3,35.4,33.5,1.48,77.4,2,0
Connecticut,BE,110.8,94.3,64.5,19.2,17.3,48.9,47.8,18.7,20.5,36.9,30.0,34.5,32.5,1.91,77.8,1,0
Maryland,B10,109.9,93.3,65.9,17.9,18.6,51.7,49.8,16.7,16.9,21.8,25.2,34.0,34.9,1.83,78.4,2,0
Saint Louis,A10,110.8,94.4,69.2,16.0,17.7,54.0,47.6,16.7,22.0,33.4,23.5,37.3,35.1,1.9,76.2,3,1
Xavier,BE,111.3,95.1,68.4,16.3,17.6,54.6,45.3,17.2,16.7,27.4,27.2,36.4,32.2,1.95,77.2,3,1
Utah St.,MWC,105.8,89.8,69.4,16.7,17.5,50.8,45.4,20.1,21.1,35.2,20.7,35.1,33.3,1.49,78.2,3,1
Clemson,ACC,106.4,90.3,65.4,17.8,18.1,49.1,48.9,19.7,22.3,27.4,27.5,32.3,33.8,1.77,76.9,4,1
VCU,A10,106.4,90.4,70.1,15.8,17.7,51.2,46.0,20.9,25.1,30.3,31.4,34.3,30.6,1.26,77.3,5,1
St. Bonaventure,A10,110.8,94.9,65.8,18.1,17.9,49.5,45.7,17.9,19.2,33.8,31.1,32.1,30.4,1.93,77.3,3,0
