home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Norfolk St.,Coppin St.,8,2021-02-08,7.5,1.0,0.773,Norfolk St.
East Carolina,SMU,-5,2021-02-08,-6.0,1.0,0.708,East Carolina
UNLV,Air Force,12,2021-02-08,14.0,0.0,0.7063,Air Force
Hampton,High Point,-1,2021-02-08,-2.0,0.0,0.6934,High Point
Texas A&M Corpus Chris,Abilene Christian,-15,2021-02-08,-15.5,0.0,0.692,Abilene Christian
Minnesota,Nebraska,11,2021-02-08,11.0,0.0,0.6874,Nebraska
Maryland,Ohio St.,-3,2021-02-08,-3.5,1.0,0.6852,Maryland
Alabama A&M,Arkansas Pine Bluff,8,2021-02-08,10.0,0.0,0.6543,Arkansas Pine Bluff
Kansas,Oklahoma St.,4,2021-02-08,5.0,1.0,0.6526,Kansas
Furman,UNC Greensboro,3,2021-02-08,4.0,1.0,0.6033,Furman
Florida A&M,North Carolina Central,1,2021-02-08,1.5,0.0,0.5946,North Carolina Central
Southern,Jackson St.,3,2021-02-08,4.0,0.0,0.5653,Jackson St.
Alcorn St.,Grambling St.,-1,2021-02-08,-1.5,0.0,0.5607,Grambling St.
Fairfield,Quinnipiac,-3,2021-02-08,-3.5,0.0,0.5589,Quinnipiac
Mercer,Samford,8,2021-02-08,9.5,1.0,0.5568,Mercer
Tennessee Martin,Austin Peay,-10,2021-02-08,-12.5,1.0,0.5549,Tennessee Martin
Colorado,Oregon St.,13,2021-02-08,12.5,0.0,0.5541,Oregon St.
North Carolina,Miami FL,11,2021-02-08,10.0,0.0,0.552,Miami FL
San Diego St.,San Jose St.,25,2021-02-08,26.5,1.0,0.5366,San Diego St.
BYU,Gonzaga,-10,2021-02-08,-11.5,1.0,0.5336,BYU
SIU Edwardsville,Eastern Kentucky,-6,2021-02-08,-9.5,0.0,0.5316,Eastern Kentucky
Stony Brook,UMBC,-2,2021-02-08,-3.0,0.0,0.5312,UMBC
LIU,St. Francis NY,5,2021-02-08,5.0,1.0,0.526,LIU
Alabama St.,Mississippi Valley St.,15,2021-02-08,19.0,1.0,0.5106,Alabama St.
Lafayette,Loyola MD,4,2021-02-08,2.5,1.0,0.5028,Lafayette
