home,away,predict_kp,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Indiana,Iowa,-3,2021-02-07,B10,111.2,92.3,66.1,17.9,17.4,51.2,48.1,17.1,17.9,23.8,26.4,35.3,33.5,1.35,77.3,2,0,B10,126.1,99.8,70.2,15.8,17.3,55.8,49.6,13.0,17.2,33.7,31.1,38.5,36.1,1.73,78.0,2,0
Nevada,Boise St.,-3,2021-02-07,MWC,106.1,98.8,69.6,16.7,17.7,51.0,48.0,18.0,18.1,25.0,23.7,34.1,33.1,1.03,78.2,3,1,MWC,110.5,96.3,69.1,16.1,17.6,53.8,47.8,15.9,20.9,30.1,20.6,34.8,30.9,2.06,78.2,3,0
Northern Iowa,Indiana St.,1,2021-02-07,MVC,103.6,102.6,70.0,17.1,17.5,50.1,53.9,19.6,15.7,25.5,20.4,32.9,36.1,1.37,76.7,2,0,MVC,101.9,97.8,67.5,17.6,17.3,48.9,51.1,20.1,22.2,25.5,29.4,34.4,31.1,1.81,76.7,5,1
Tulane,Cincinnati,-5,2021-02-07,Amer,97.8,99.4,67.0,17.2,18.1,43.4,48.1,15.9,22.0,24.2,28.7,28.6,34.3,1.04,76.4,1,0,Amer,104.4,95.0,70.8,16.6,16.8,48.0,49.8,20.6,19.4,28.2,24.3,28.4,31.4,1.65,77.5,2,1
Hofstra,Drexel,2,2021-02-07,CAA,105.2,105.2,67.8,17.0,18.0,49.9,51.2,17.9,18.3,30.1,28.1,31.2,33.3,1.7,76.7,4,0,CAA,103.4,102.5,64.6,19.0,16.6,52.5,48.9,19.7,18.4,28.9,23.4,33.0,30.1,1.84,77.1,3,1
Villanova,Georgetown,14,2021-02-07,BE,118.1,93.5,64.8,18.2,17.2,53.5,52.4,13.2,19.5,28.2,23.0,36.6,36.9,1.89,77.9,4,0,BE,105.8,98.1,69.5,16.4,16.7,49.4,48.2,20.6,13.9,31.0,25.4,35.5,33.7,2.17,78.1,2,1
Wichita St.,Temple,8,2021-02-07,Amer,108.4,98.0,69.4,16.9,17.3,46.1,47.2,15.7,17.7,29.5,32.4,31.0,30.6,1.89,76.3,4,1,Amer,99.6,98.1,69.1,17.2,17.5,45.6,48.4,20.1,16.6,25.1,26.2,32.4,35.1,1.6,77.6,2,0
Illinois St.,Missouri St.,-5,2021-02-07,MVC,98.1,104.6,69.9,16.4,18.2,50.4,52.2,19.4,16.6,23.7,28.0,36.9,31.9,1.04,77.1,0,0,MVC,104.6,100.8,70.1,17.1,17.1,52.4,48.3,18.4,15.1,23.0,23.8,31.3,33.9,1.63,77.5,1,1
Stony Brook,UMBC,-1,2021-02-07,AE,94.5,101.4,67.7,17.3,17.4,47.3,48.2,20.8,18.7,30.0,26.1,28.9,33.0,2.16,77.1,2,1,AE,98.7,100.7,68.3,16.2,18.1,50.1,45.7,19.4,18.3,25.0,25.4,32.2,32.2,2.45,75.7,3,1
Loyola MD,Lafayette,-1,2021-02-07,Pat,97.6,106.4,68.2,18.4,17.6,49.5,53.4,22.2,19.1,31.3,26.0,27.5,41.1,1.68,77.5,0,0,Pat,103.1,108.0,68.2,17.3,17.0,51.5,50.6,14.6,17.5,27.2,27.9,36.9,32.4,1.92,77.6,3,0
