home,away,predict_kp,date,draft_kings
Oklahoma,Kansas,1,2021-01-23,-1.0
Wisconsin,Ohio St.,4,2021-01-23,5.0
Louisville,Duke,1,2021-01-23,3.0
Stanford,UCLA,-1,2021-01-23,-4.5
Syracuse,Virginia Tech,1,2021-01-23,1.0
Kentucky,LSU,-1,2021-01-23,1.5
Oklahoma St.,Baylor,-9,2021-01-23,-9.0
Tennessee,Missouri,6,2021-01-23,7.0
Minnesota,Maryland,6,2021-01-23,6.0
Florida St.,Clemson,6,2021-01-23,6.0
South Carolina,Auburn,3,2021-01-23,2.0
North Carolina,N.C. State,5,2021-01-23,6.0
Georgia,Florida,-6,2021-01-23,-4.0
UCF,SMU,-3,2021-01-23,-4.0
Penn St.,Northwestern,6,2021-01-23,5.5
VCU,Dayton,3,2021-01-23,6.0
Duquesne,St. Bonaventure,-3,2021-01-23,-5.5
San Francisco,Saint Mary's,3,2021-01-23,2.0
Villanova,Providence,10,2021-01-23,11.5
Wake Forest,Pittsburgh,-4,2021-01-23,-1.5
Virginia,Georgia Tech,9,2021-01-23,8.0
East Tennessee St.,Furman,-3,2021-01-23,-4.5
Vanderbilt,Arkansas,-8,2021-01-23,-8.0
Toledo,Kent St.,7,2021-01-23,4.0
Marquette,DePaul,8,2021-01-23,9.0
UTEP,Louisiana Tech,-2,2021-01-23,-1.0
Alabama,Mississippi St.,12,2021-01-23,9.5
California,USC,-9,2021-01-23,-8.5
Washington St.,Colorado,-10,2021-01-23,-10.0
Mississippi,Texas A&M,8,2021-01-23,8.5
UC Riverside,Cal St. Bakersfield,2,2021-01-23,2.5
Chattanooga,UNC Greensboro,-3,2021-01-23,-3.5
Appalachian St.,Georgia St.,-3,2021-01-23,-3.5
Saint Joseph's,George Mason,-1,2021-01-23,-3.5
Loyola Marymount,Santa Clara,5,2021-01-23,4.0
UT Arlington,Little Rock,-1,2021-01-23,-1.5
Northern Colorado,Eastern Washington,-3,2021-01-23,-4.0
Temple,Houston,-14,2021-01-23,-12.0
Southern Utah,Weber St.,2,2021-01-23,1.0
Florida Atlantic,Charlotte,1,2021-01-23,1.5
BYU,Pepperdine,11,2021-01-23,11.5
Kansas St.,West Virginia,-12,2021-01-23,-11.0
Eastern Michigan,Miami OH,-1,2021-01-23,-2.0
Oakland,Detroit,1,2021-01-23,2.0
FIU,Marshall,-8,2021-01-23,-9.5
UC San Diego,UC Davis,2,2021-01-23,1.5
Navy,Army,4,2021-01-23,3.0
Austin Peay,Jacksonville St.,3,2021-01-23,3.5
Sacramento St.,Montana,-2,2021-01-23,-2.5
Green Bay,Purdue Fort Wayne,1,2021-01-23,2.0
Illinois St.,Valparaiso,1,2021-01-23,2.0
Youngstown St.,Illinois Chicago,1,2021-01-23,1.5
Cal Baptist,Long Beach St.,1,2021-01-23,3.5
