home,away,predict_kp,date,lasso,linear,rf,draft_kings
Maryland,Wisconsin,-2,2021-01-27,-5.0,-5.0,6.0,-3.0
Clemson,Louisville,1,2021-01-27,1.0,1.0,3.0,1.5
Arkansas,Mississippi,3,2021-01-27,3.0,2.0,2.0,4.5
Notre Dame,Virginia Tech,-1,2021-01-27,-5.0,-8.0,5.0,-0.5
Colorado St.,Boise St.,-1,2021-01-27,-1.0,0.0,-7.0,-2.5
Ohio St.,Penn St.,7,2021-01-27,7.0,6.0,9.0,7.5
Providence,Marquette,3,2021-01-27,2.0,1.0,7.0,1.0
DePaul,St. John's,1,2021-01-27,2.0,4.0,-0.0,-0.5
South Carolina,Georgia,3,2021-01-27,5.0,3.0,-0.0,4.0
Missouri St.,Drake,-5,2021-01-27,-6.0,-5.0,-8.0,-4.0
UNLV,Utah St.,-5,2021-01-27,-8.0,-9.0,-1.0,-6.5
Pepperdine,BYU,-7,2021-01-27,-10.0,-11.0,-1.0,-6.0
Kent St.,Bowling Green,5,2021-01-27,6.0,7.0,5.0,5.0
N.C. State,Wake Forest,7,2021-01-27,7.0,6.0,5.0,7.5
La Salle,Rhode Island,-8,2021-01-27,-10.0,-12.0,-8.0,-7.0
UNC Greensboro,Mercer,5,2021-01-27,7.0,7.0,-1.0,5.0
UCF,East Carolina,6,2021-01-27,6.0,5.0,6.0,5.5
Abilene Christian,Stephen F. Austin,5,2021-01-27,8.0,11.0,8.0,2.5
Florida St.,Miami FL,13,2021-01-27,14.0,12.0,17.0,11.0
VMI,Western Carolina,2,2021-01-27,-1.0,-4.0,-1.0,2.0
James Madison,Towson,3,2021-01-27,4.0,4.0,6.0,3.0
Northwestern St.,New Orleans,1,2021-01-27,1.0,2.0,9.0,0.5
Southeastern Louisiana,Central Arkansas,-3,2021-01-27,-4.0,-5.0,-2.0,-1.5
Fordham,Duquesne,-7,2021-01-27,-8.0,-12.0,-11.0,-7.0
Colorado,Washington St.,15,2021-01-27,15.0,14.0,17.0,14.5
Florida,Vanderbilt,15,2021-01-27,15.0,13.0,12.0,13.0
Incarnate Word,Houston Baptist,4,2021-01-27,3.0,-1.0,9.0,2.5
LIU,Merrimack,6,2021-01-27,9.0,12.0,9.0,6.0
The Citadel,Wofford,-10,2021-01-27,-11.0,-14.0,-3.0,-9.0
Texas A&M Corpus Chris,Sam Houston St.,-7,2021-01-27,-6.0,-2.0,-1.0,-9.0
Baylor,Kansas St.,25,2021-01-27,30.0,28.0,15.0,23.5
Nicholls St.,McNeese St.,14,2021-01-27,15.0,16.0,6.0,14.0
