home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Ohio St.,Michigan,87,92,-5,2021-02-21,B10,124.1,96.3,66.9,18.1,17.3,53.4,48.1,15.3,15.8,30.4,26.3,36.2,33.7,1.99,77.5,5,1,B10,119.1,89.5,67.3,17.1,17.8,56.6,43.1,17.8,14.9,30.5,24.6,38.0,32.0,2.13,77.9,4,1
Rutgers,Maryland,59,68,-9,2021-02-21,B10,111.2,90.6,67.2,17.1,17.8,50.9,47.8,15.7,19.2,29.0,29.0,32.3,33.1,2.01,77.9,3,0,B10,111.7,93.8,65.2,18.2,18.3,52.5,49.1,16.6,16.6,21.8,24.2,34.8,34.9,1.87,78.3,3,1
Northwestern,Wisconsin,51,68,-17,2021-02-21,B10,107.6,94.8,69.0,16.2,18.0,50.9,50.7,16.1,17.2,19.2,26.3,34.4,33.7,1.53,77.9,0,0,B10,112.3,90.0,64.7,18.6,17.6,49.6,47.0,13.6,17.6,23.7,24.0,35.9,33.6,2.38,78.0,2,0
St. Bonaventure,Davidson,69,58,11,2021-02-21,A10,111.5,95.7,65.6,18.1,17.9,49.5,45.7,17.9,19.2,33.8,31.1,32.1,30.4,1.93,77.3,3,0,A10,113.9,100.7,63.2,19.1,18.2,55.9,49.4,17.5,15.2,29.3,18.8,35.8,32.4,1.76,78.4,5,1
Iowa,Penn St.,74,68,6,2021-02-21,B10,128.4,98.0,69.4,16.0,17.6,55.7,48.2,13.2,16.4,32.9,30.9,40.4,34.8,1.7,78.0,3,1,B10,113.7,96.1,68.7,16.7,18.1,48.3,52.8,16.5,20.4,32.7,27.5,34.4,32.7,2.22,76.1,1,0
Temple,South Florida,76,83,-7,2021-02-21,Amer,102.4,99.3,68.5,17.4,17.7,45.7,48.5,19.9,16.2,26.2,26.6,31.8,34.2,1.57,77.6,0,0,Amer,102.7,98.2,66.6,18.0,17.1,46.0,50.1,21.6,18.7,34.9,25.5,32.9,30.2,1.89,78.3,1,0
Xavier,Butler,63,51,12,2021-02-21,BE,112.1,97.4,68.8,16.3,17.4,53.7,46.8,16.4,16.5,27.1,27.3,35.5,33.4,1.91,77.2,3,0,BE,102.6,97.6,64.6,19.2,17.5,47.6,53.2,17.1,19.6,25.1,23.7,33.7,36.7,1.77,76.5,2,0
Houston,Cincinnati,90,52,38,2021-02-21,Amer,116.0,89.8,65.2,19.0,17.0,49.1,42.6,17.5,22.3,40.2,28.2,34.0,28.0,1.81,77.1,3,0,Amer,105.0,96.4,70.0,16.8,17.0,48.3,48.8,20.9,19.1,29.4,24.7,28.6,31.6,1.6,77.4,4,1
Niagara,Siena,66,68,-2,2021-02-21,MAAC,100.7,107.2,64.1,18.6,17.9,46.6,49.2,15.2,19.7,22.8,27.0,31.5,33.2,2.49,75.7,3,1,MAAC,102.3,100.9,65.8,19.0,17.4,51.0,45.5,18.3,17.6,26.7,25.7,34.4,34.1,1.84,76.4,2,0
Southern Illinois,Valparaiso,65,66,-1,2021-02-21,MVC,98.6,103.6,66.7,18.0,17.7,51.4,53.8,18.1,19.5,17.2,25.0,36.6,35.8,0.96,76.2,2,0,MVC,97.8,100.3,67.5,17.4,18.1,47.7,50.8,18.3,18.5,19.7,27.9,29.9,34.5,1.44,76.8,2,0
