home,away,home_score,away_score,date,line,score,cover
Duquesne,Princeton,94.0,67.0,2018-11-05,5.5,27.0,1
MiamiFlorida,Louisville,74.0,87.0,2018-11-05,-7.0,-13.0,0
Alabama,Pennsylvania,80.0,81.0,2018-11-05,7.5,-1.0,0
Michigan,AppalachianSt,79.0,71.0,2018-11-05,18.5,8.0,0
Clemson,VirginiaTech,60.0,67.0,2018-11-05,4.0,-7.0,0
EastCarolina,VMI,80.0,68.0,2018-11-05,8.0,12.0,1
Georgia,WesternCarolina,91.0,72.0,2018-11-05,16.5,19.0,1
IndianaU,WesternIllinois,98.0,65.0,2018-11-05,21.5,33.0,1
St.Josephs,Bradley,86.0,81.0,2018-11-05,-3.0,5.0,1
Temple,Drexel,70.0,62.0,2018-11-05,13.0,8.0,0
Towson,GeoWashington,72.0,58.0,2018-11-05,6.0,14.0,1
EasternKentucky,Chattanooga,79.0,68.0,2018-11-05,4.5,11.0,1
MoreheadState,Samford,90.0,86.0,2018-11-05,-4.0,4.0,1
St.Bonaventure,Ohio,53.0,65.0,2018-11-05,12.0,-12.0,0
LoyolaChicago,UCDavis,82.0,48.0,2018-11-05,14.0,34.0,1
SouthDakotaState,UTRioGrandeValley,70.0,57.0,2018-11-05,4.5,13.0,1
Arkansas,Rice,91.0,43.0,2018-11-05,18.0,48.0,1
Minnesota,ClevelandState,85.0,50.0,2018-11-05,20.5,35.0,1
MississippiSt,FloridaIntl,77.0,69.0,2018-11-05,16.5,8.0,0
MissouriSt,ArkansasLR,66.0,67.0,2018-11-05,13.5,-1.0,0
NorthernIowa,OldDominion,58.0,53.0,2018-11-05,5.5,5.0,0
Oklahoma,TexSanAntonio,85.0,67.0,2018-11-05,13.5,18.0,1
SMU,JacksonvilleSt,74.0,65.0,2018-11-05,11.5,9.0,0
KansasState,NorthDakotaState,67.0,54.0,2018-11-05,13.0,13.0,2
Texas,No.Colorado,69.0,45.0,2018-11-05,16.0,24.0,1
TexasTech,EasternIllinois,85.0,60.0,2018-11-05,23.0,25.0,1
Valparaiso,Toledo,79.0,77.0,2018-11-05,-3.5,2.0,1
WesternKentucky,TennesseeTech,76.0,64.0,2018-11-05,19.0,12.0,0
WichitaState,NebraskaOmaha,68.0,54.0,2018-11-05,13.5,14.0,1
NCState,GeorgiaTech,81.0,82.0,2018-11-05,8.5,-1.0,0
BYU,CSFullerton,76.0,58.0,2018-11-05,14.5,18.0,1
Auburn,GeorgiaSouthern,83.0,74.0,2018-11-05,14.5,9.0,0
Nebraska,CalRiverside,47.0,66.0,2018-11-05,15.0,-19.0,0
ColoradoState,DenverU,74.0,63.0,2018-11-05,13.5,11.0,0
Oregon,FresnoState,71.0,57.0,2018-11-05,13.5,14.0,1
Wisconsin,SaintMarysCA,63.0,65.0,2018-11-05,-2.5,-2.0,1
Wyoming,IdahoState,54.0,40.0,2018-11-05,8.0,14.0,1
California,Pepperdine,87.0,71.0,2018-11-05,-2.5,16.0,1
SanDiego,CalIrvine,73.0,76.0,2018-11-05,-2.5,-3.0,0
UNLV,IPFW,86.0,71.0,2018-11-05,10.5,15.0,1
UtahState,MontanaState,81.0,73.0,2018-11-05,21.5,8.0,0
Nevada,UtahU,74.0,79.0,2018-11-05,6.0,-5.0,0
OregonState,CSNorthridge,87.0,67.0,2018-11-05,12.5,20.0,1
N.CarolinaA&T,CentralArkansas,50.0,61.0,2018-11-05,-1.0,-11.0,0
TennesseeTech,Lipscomb,65.0,78.0,2018-11-25,-3.5,-13.0,0
VaCommonwealth,AlabamaState,78.0,62.0,2018-11-25,26.0,16.0,0
AlabamaA&M,Troy,80.0,66.0,2018-11-25,-8.0,14.0,1
TexasState,AbileneChristian,61.0,56.0,2018-11-25,11.5,5.0,0
AustinPeay,SoCarolinaSt,92.0,66.0,2018-11-25,13.0,26.0,1
Vanderbilt,SELouisiana,78.0,70.0,2018-11-25,17.5,8.0,0
Campbell,Jacksonville,62.0,57.0,2018-11-25,4.0,5.0,1
Montana,TexasSouthern,74.0,62.0,2018-11-25,9.0,12.0,1
CalIrvine,UL-Lafayette,92.0,67.0,2018-11-26,7.5,25.0,1
BallState,WesternIllinois,62.0,69.0,2018-11-26,17.0,-7.0,0
Princeton,ArizonaState,65.0,67.0,2018-11-26,-10.5,-2.0,1
EastTennState,AppalachianState,78.0,69.0,2018-11-26,11.5,9.0,0
Elon,Furman,61.0,97.0,2018-11-26,-14.0,-36.0,0
St.Bonaventure,Mercer,56.0,51.0,2018-11-26,6.0,5.0,0
WilliamMary,MoreheadState,95.0,84.0,2018-11-26,6.5,11.0,1
Depaul,CentralMichigan,88.0,75.0,2018-11-26,12.5,13.0,1
IllinoisChicago,Canisius,64.0,94.0,2018-11-26,7.5,-30.0,0
EasternWashington,Belmont,87.0,82.0,2018-11-26,-5.0,5.0,1
Idaho,NorthDakotaState,53.0,70.0,2018-11-26,-7.5,-17.0,0
California,UCDavis,72.0,66.0,2018-11-26,11.5,6.0,0
Pacific,SIUEdwardsville,78.0,50.0,2018-11-26,11.0,28.0,1
SantaClara,DenverU,81.0,64.0,2018-11-27,14.0,17.0,1
Tulsa,SoCarolinaSt,78.0,47.0,2018-11-27,20.0,31.0,1
NorthAlabama,MissValleySt,73.0,50.0,2018-11-27,21.0,23.0,1
Virginia,Maine,46.0,26.0,2018-11-27,29.0,20.0,0
Monmouth,NorfolkSt,75.0,71.0,2018-11-27,4.0,4.0,2
SMU,Hartford,90.0,58.0,2018-11-27,17.0,32.0,1
Delaware,StonyBrook,75.0,61.0,2018-11-27,5.0,14.0,1
ArkansasLR,AlcornState,67.0,50.0,2018-11-27,15.0,17.0,1
Elon,UTArlington,67.0,77.0,2018-11-28,-10.5,-10.0,1
MemphisU,NCState,83.0,78.0,2018-11-28,-2.0,5.0,1
Rutgers,Massachusetts,82.0,57.0,2018-11-29,8.0,25.0,1
Minnesota,Depaul,68.0,73.0,2018-11-29,3.5,-5.0,0
Louisville,WesternKentucky,71.0,54.0,2018-11-29,11.5,17.0,1
CalRiverside,SIUEdwardsville,69.0,51.0,2018-11-29,11.5,18.0,1
Kentucky,UAB,69.0,58.0,2018-11-29,20.5,11.0,0
LSU,MissouriSt,73.0,58.0,2018-11-29,13.0,15.0,1
BoiseState,NCWilmington,80.0,59.0,2018-11-29,13.5,21.0,1
Florida,Marshall,73.0,67.0,2018-11-29,21.0,6.0,0
UtahU,UCDavis,77.0,73.0,2018-11-29,16.0,4.0,0
SaintMarysCA,UtahState,81.0,73.0,2018-11-29,5.0,8.0,1
Hawaii,SanFrancisco,85.0,75.0,2018-11-29,-3.5,10.0,1
SantaClara,SEMissouriSt,87.0,75.0,2018-11-29,14.0,12.0,0
GeorgiaSouthern,Campbell,84.0,74.0,2018-11-29,8.0,10.0,1
Delaware,MDEasternShore,75.0,56.0,2018-11-29,21.0,19.0,0
Duke,Winthrop,83.0,70.0,2018-11-29,22.5,13.0,0
Akron,Merrimack,64.0,47.0,2018-11-29,13.0,17.0,1
FlaGulfCoast,NorthDakota,63.0,78.0,2018-11-29,3.5,-15.0,0
FlaAtlantic,HolyCross,87.0,69.0,2018-11-29,12.0,18.0,1
SMU,AbileneChristian,70.0,51.0,2018-11-29,16.0,19.0,1
OhioState,MorganState,90.0,57.0,2018-11-29,27.0,33.0,1
Montana,CoppinState,69.0,62.0,2018-11-29,13.0,7.0,0
CalSantaBarb,Grambling,67.0,58.0,2018-11-29,12.5,9.0,0
Pacific,Longwood,69.0,51.0,2018-11-29,8.5,18.0,1
CSBakersfield,Hampton,70.0,57.0,2018-11-29,5.0,13.0,1
IndianaU,SouthDakotaState,64.0,50.0,2018-11-30,17.5,14.0,0
JamesMadison,EastCarolina,99.0,89.0,2018-11-30,2.5,10.0,1
Buffalo,William&Mary,88.0,77.0,2018-11-30,8.5,11.0,1
Georgetown,NCGreensboro,61.0,65.0,2018-11-30,7.5,-4.0,0
NorthernArizona,SouthDakota,76.0,72.0,2018-11-30,-6.5,4.0,1
Richmond,BostonCollege,64.0,44.0,2018-11-30,7.0,20.0,1
ArkansasLR,ETennesseeSt,63.0,67.0,2018-11-30,-4.0,-4.0,2
BowlingGreen,Dartmouth,76.0,69.0,2018-11-30,8.0,7.0,0
IUPUI,Evansville,64.0,70.0,2018-11-30,-2.5,-6.0,0
LouisianaTech,Samford,78.0,57.0,2018-11-30,10.5,21.0,1
MiddleTennSt,Belmont,59.0,71.0,2018-11-30,-8.5,-12.0,0
CentralMichigan,YoungstownState,88.0,72.0,2018-11-30,7.0,16.0,1
