home,away,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Richmond,Wofford,107.3,91.8,73.9,0.001,101.2,99.4,70.2,0.0
Western Michigan,Adrian,94.5,100.5,70.2,-0.132,101.2,99.4,70.2,0.0
Cal St. Bakersfield,Bethesda University (CA),94.7,97.5,69.0,0.0,101.2,99.4,70.2,0.0
Middle Tennessee,Chattanooga,93.4,95.4,73.8,-0.192,97.2,100.3,72.1,0.0
The Citadel,Columbia International,95.0,108.6,76.8,0.0,97.2,100.3,72.1,0.0
Hartford,Fairfield,93.6,103.4,71.0,0.138,89.3,99.2,70.4,-0.225
North Florida,Florida Atlantic,96.6,108.2,71.6,-0.041,94.3,98.4,69.6,-0.143
Norfolk St.,Hampton,93.2,99.1,70.9,0.172,92.3,107.7,75.8,0.0
Appalachian St.,LaGrange,97.2,100.1,70.9,-0.218,92.3,107.7,75.8,0.0
Bradley,Lewis,100.0,95.2,69.4,-0.135,92.3,107.7,75.8,0.0
Southeast Missouri St.,Lipscomb,91.6,107.3,72.6,0.052,98.8,101.8,70.6,0.007
UC Santa Barbara,Loyola Marymount,100.4,97.2,69.3,0.0,102.2,99.1,71.6,-0.052
Eastern Kentucky,Morehead St.,96.9,98.9,77.7,-0.121,92.9,105.2,69.1,0.08
Coastal Carolina,North Carolina Central,100.2,101.5,74.3,0.0,93.2,103.4,69.4,0.18
East Carolina,UNC Wilmington,100.2,95.4,70.9,0.001,96.9,102.6,71.4,0.083
Arizona,Northern Arizona,104.6,89.0,72.4,0.166,94.3,105.5,70.6,0.0
James Madison,Old Dominion,96.7,105.9,72.9,0.028,102.6,96.1,70.4,0.137
Charlotte,South Carolina St.,97.0,100.2,68.1,-0.0,85.0,111.3,74.2,-0.007
