home,away,line,draft_kings,diff,score
Kent St.,Toledo,-5.0,2.0,7.0,-2
Gardner Webb,Campbell,2.0,5.5,3.5,15
Fordham,Dayton,-16.0,-12.5,3.5,1
Alabama,Florida,-0.0,3.0,3.0,15
Duquesne,Davidson,-2.0,1.0,3.0,13
Texas,Iowa St.,14.0,12.0,2.0,6
Ohio,Northern Illinois,17.0,15.0,2.0,3
Radford,Hampton,6.0,4.5,1.5,11
Coppin St.,Delaware St.,8.0,9.5,1.5,4
Charleston Southern,Winthrop,-14.0,-13.0,1.0,-2
USC Upstate,Longwood,3.0,2.5,0.5,6
Texas Tech,Kansas St.,16.0,15.5,0.5,11
Kentucky,Vanderbilt,11.0,11.5,0.5,3
TCU,Kansas,-6.0,-6.0,0.0,-29
Bowling Green,Central Michigan,9.0,9.0,0.0,21
Mississippi St.,Missouri,-2.0,-2.0,0.0,15
