home,away,line,draft_kings,diff
Vanderbilt,Tennessee,-15.0,-11.5,3.5
Michigan,Wisconsin,0.0,3.5,3.5
USC,UC Riverside,18.0,14.5,3.5
Northern Illinois,Akron,-11.0,-8.5,2.5
Kentucky,Alabama,-0.0,2.0,2.0
Grambling St.,Alcorn St.,6.0,8.0,2.0
North Carolina,Syracuse,2.0,4.0,2.0
Virginia Tech,Duke,-0.0,-1.5,1.5
Mississippi Valley St.,Alabama St.,-5.0,-6.5,1.5
St. John's,Butler,1.0,2.5,1.5
Central Michigan,Kent St.,-5.0,-6.5,1.5
Oklahoma St.,Kansas,-3.0,-4.0,1.0
Marquette,Providence,2.0,3.0,1.0
SIU Edwardsville,Eastern Illinois,-7.0,-6.0,1.0
Toledo,Eastern Michigan,12.0,11.0,1.0
Western Michigan,Buffalo,-10.0,-9.5,0.5
Bowling Green,Ball St.,7.0,7.5,0.5
Oklahoma,TCU,7.0,7.5,0.5
