home_team,away_team,home_score,away_score
West Virginia,Iowa State,70,65
Tennessee,Tennessee Tech,103,49
San Diego State,BYU,62,72
Nevada,Air Force,74,57
Coastal Carolina,Alice Lloyd,86,63
Tennessee State,Belmont,63,88
Robert Morris,Bowling Green State,65,85
Georgia State,Carver College,122,57
Western Michigan,Central Michigan,76,61
Little Rock,Champion Christian,78,50
Northern Illinois,Chicago State,64,54
Appalachian State,Columbia International,77,41
Rhode Island,Davidson,58,67
Montana,Dickinson State (ND),78,51
South Dakota,Drake,57,75
Wichita State,Emporia State,73,57
Niagara,Fairfield,68,51
Georgia Tech,Florida A&M,74,64
North Carolina A&T,Greensboro,91,45
Howard,Hampton,81,76
Utah,Idaho,79,41
Rider,Iona,56,70
Washington State,Montana State,82,54
Norfolk State,UNC Wilmington,72,80
Southern Illinois,North Dakota,62,50
Tulsa,Northwestern State,82,55
Loyola (IL),Richmond,73,75
Idaho State,SAGU Amer. Indian Coll.,113,46
Monmouth,St. Peter's,78,76
Presbyterian,South Carolina State,62,56
Morehead State,SIU-Edwardsville,65,69
Southeast Missouri State,UT-Martin,67,69
Gardner-Webb,VMI,88,77
Florida Gulf Coast,Webber,112,39
Portland State,Weber State,66,94
College of Charleston,Western Carolina,70,76
